Nasdaq Traded,Symbol,Company Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Symbol_Clean,Sector,source,confidence
Y,RAVN,"Raven Industries, Inc. - Common Stock",Q,Q,N,100.0,N,N,,RAVN,N,RAVN,Communication Services,Wikipedia-High,60.5
Y,RBA,Ritchie Bros. Auctioneers Incorporated Common Stock,N, ,N,100.0,N,,RBA,RBA,N,RBA,Real Estate,Nasdaq,100.0
Y,RBB,RBB Bancorp - Common Stock,Q,Q,N,100.0,N,N,,RBB,N,RBB,Finance,Nasdaq,100.0
Y,RBBN,Ribbon Communications Inc.  - Common Stock,Q,Q,N,100.0,N,N,,RBBN,N,RBBN,Technology,Nasdaq,100.0
Y,RBC,Regal Beloit Corporation Common Stock,N, ,N,100.0,N,,RBC,RBC,N,RBC,Industrials,Nasdaq,100.0
Y,RBCAA,"Republic Bancorp, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,RBCAA,N,RBCAA,Finance,Nasdaq,100.0
Y,RBCN,"Rubicon Technology, Inc. - Common Stock",Q,S,N,100.0,N,N,,RBCN,N,RBCN,Technology,Name-Match,60.0
Y,RBKB,"Rhinebeck Bancorp, Inc. - Common Stock",Q,S,N,100.0,N,N,,RBKB,N,RBKB,Finance,Nasdaq,100.0
Y,RBNC,"Reliant Bancorp, Inc. - Common Stock",Q,S,N,100.0,N,N,,RBNC,N,RBNC,Energy,Wikipedia-High,212.0
Y,RBZ,Reebonz Holding Limited - Ordinary Shares,Q,G,N,100.0,N,D,,RBZ,N,RBZ,Consumer Discretionary,Groq-Success,100.0
Y,RC,Ready Capital Corproation Common Stock,N, ,N,100.0,N,,RC,RC,N,RC,Real Estate,Nasdaq,100.0
Y,RCG,"RENN Fund, Inc Common Stock",A, ,N,100.0,N,,RCG,RCG,N,RCG,Finance,Nasdaq,100.0
Y,RCI,"Rogers Communication, Inc. Common Stock",N, ,N,100.0,N,,RCI,RCI,N,RCI,Telecommunications,Nasdaq,100.0
Y,RCII,Rent-A-Center Inc. - Common Stock,Q,Q,N,100.0,N,N,,RCII,N,RCII,Financial,Wikipedia-High,22.5
Y,RCKT,"Rocket Pharmaceuticals, Inc. - Common Stock",Q,G,N,100.0,N,D,,RCKT,N,RCKT,Health Care,Nasdaq,100.0
Y,RCKY,"Rocky Brands, Inc. - Common Stock",Q,Q,N,100.0,N,N,,RCKY,N,RCKY,Consumer Discretionary,Nasdaq,100.0
Y,RCL,Royal Caribbean Cruises Ltd. Common Stock,N, ,N,100.0,N,,RCL,RCL,N,RCL,Consumer Discretionary,Nasdaq,100.0
Y,RCM,R1 RCM Inc. - Common Stock,Q,Q,N,100.0,N,N,,RCM,N,RCM,Consumer Staples,Wikipedia-High,37.5
Y,RCMT,"RCM Technologies, Inc. - Common Stock",Q,G,N,100.0,N,N,,RCMT,N,RCMT,Consumer Discretionary,Nasdaq,100.0
Y,RCON,"Recon Technology, Ltd. - Ordinary Shares",Q,S,N,100.0,N,N,,RCON,N,RCON,Energy,Nasdaq,100.0
Y,RCS,"PIMCO Strategic Income Fund, Inc.",N, ,N,100.0,N,,RCS,RCS,N,RCS,Finance,Nasdaq,100.0
Y,RCUS,"Arcus Biosciences, Inc. Common Stock",N, ,N,100.0,N,,RCUS,RCUS,N,RCUS,Health Care,Nasdaq,100.0
Y,RDCM,Radcom Ltd. - Ordinary Shares,Q,S,N,100.0,N,N,,RDCM,N,RDCM,Technology,Nasdaq,100.0
Y,RDFN,Redfin Corporation - Common Stock,Q,Q,N,100.0,N,N,,RDFN,N,RDFN,Utilities,Wikipedia-High,35.0
Y,RDI,Reading International Inc - Class A Non-voting Common Stock,Q,S,N,100.0,N,N,,RDI,N,RDI,Consumer Discretionary,Nasdaq,100.0
Y,RDIB,Reading International Inc - Class B Voting Common Stock,Q,S,N,100.0,N,N,,RDIB,N,RDIB,Consumer Discretionary,Nasdaq,100.0
Y,RDN,Radian Group Inc. Common Stock,N, ,N,100.0,N,,RDN,RDN,N,RDN,Finance,Nasdaq,100.0
Y,RDNT,"RadNet, Inc. - Common Stock",Q,G,N,100.0,N,N,,RDNT,N,RDNT,Health Care,Nasdaq,100.0
Y,RDUS,"Radius Health, Inc. - Common Stock",Q,G,N,100.0,N,N,,RDUS,N,RDUS,Healthcare,Name-Match,24.0
Y,RDVT,"Red Violet, Inc. - Common Stock ",Q,S,N,100.0,N,N,,RDVT,N,RDVT,Technology,Nasdaq,100.0
Y,RDWR,Radware Ltd. - Ordinary Shares,Q,Q,N,100.0,N,N,,RDWR,N,RDWR,Real Estate,Nasdaq,100.0
Y,RDY,Dr. Reddy's Laboratories Ltd Common Stock,N, ,N,100.0,N,,RDY,RDY,N,RDY,Health Care,Nasdaq,100.0
Y,RE,"Everest Re Group, Ltd. Common Stock",N, ,N,100.0,N,,RE,RE,N,RE,Financial,Wikipedia-High,67.5
Y,REAL,"The RealReal, Inc. - Common Stock",Q,Q,N,100.0,N,N,,REAL,N,REAL,Consumer Discretionary,Nasdaq,100.0
Y,REDU,RISE Education Cayman Ltd - American Depositary Shares,Q,G,N,100.0,N,N,,REDU,N,REDU,Communication Services,Wikipedia-High,135.0
